kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,1.0,94.30567073677726,88.29031771332264
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,1.0,94.30567073677726,88.29031771332264
SegFreeKWS,,,,89.73585838641506,72.28752434667571
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.1,,89.34065862607804,71.89506150218759
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.1,,89.71838903866296,72.2652024425426
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.1,,89.49814702115829,72.04981298141894
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.1,,89.63233871767801,72.18400467793865
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.1,,88.95843833273945,71.5190502241048
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.1,,89.74030995336663,72.28752434667571
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.3,,71.67910488284122,56.62731020493387
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.3,,87.91410434418948,70.74586065964374
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.3,,71.46412285983143,56.02933143092974
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.3,,87.52324707206944,70.2605751375772
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.3,,81.33200336147968,64.75001602647836
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.3,,89.05305227475651,71.72608411796148
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.5,,62.64452968904189,48.50915680589087
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.5,,86.46156648138131,69.72324543254072
